episode,reward,td_error,epsilon,hops,delay_ms,dropped,avg_util
93,-1.2000000000000002,0.2105731897423333,0.9978194762739017,6,22.0,0.0,0.02153846153846154
94,-2.9000000000000004,0.2842583227890875,0.997786349148464,8,19.0,0.0,0.023076923076923075
95,-3.4000000000000004,0.31866975,0.9977532231228309,8,24.0,0.0,0.060000000000000005
96,0.5,0.2739,0.9977408011467543,3,5.0,0.0,0.02
97,-0.10000000000000009,0.17098422192,0.9977200981969657,5,11.0,0.0,0.01884615384615385
98,-3.9,0.3545903922327125,0.9976869743708323,8,29.0,0.0,0.04230769230769231
99,0.8,0.72,0.9976828339698887,1,2.0,0.0,0.004230769230769231
100,0.7,0.63,0.9976786935861277,1,3.0,0.0,0.0038461538461538464
101,0.39999999999999997,0.32427,0.9976704128701535,2,6.0,0.0,0.00576923076923077
102,-3.4000000000000004,0.3524807875,0.9976372906935489,8,24.0,0.0,0.050769230769230775
103,-3.3,0.2993234127383507,0.9976041696165845,8,23.0,0.0,0.04153846153846154
104,-1.1102230246251565e-16,0.28491,0.9975876094904561,4,10.0,0.0,0.035
105,0.8,0.72,0.9975834695018767,1,2.0,0.0,0.006153846153846154
106,-3.0999999999999996,0.3099226420818447,0.99755035021175,8,21.0,0.0,0.07384615384615384
107,-0.8,0.26706137399999996,0.9975296512137857,5,18.0,0.0,0.03230769230769231
108,-3.7,0.3703876775221191,0.9974965337104003,8,27.0,0.0,0.045
109,-0.8999999999999998,0.35986935000000003,0.9974716963044002,6,19.0,0.0,0.05230769230769231
110,0.09999999999999987,0.20147669999999995,0.9974592778333181,3,9.0,0.0,0.012692307692307694
111,-3.0,0.2179611641925,0.9974261626662949,8,20.0,0.0,0.03692307692307692
112,-2.9000000000000004,0.32661016127589193,0.9973930485986794,8,19.0,0.0,0.05500000000000001
113,-0.09999999999999998,0.19749667545,0.9973764919771381,4,11.0,0.0,0.02076923076923077
114,0.39999999999999997,0.2817982085,0.997368213769432,2,6.0,0.0,0.01
115,0.29999999999999993,0.41766499999999995,0.9973599356304349,2,7.0,0.0,0.01076923076923077
116,-1.5999999999999999,0.235254353541075,0.9973268237615248,8,26.0,0.0,0.04615384615384616
117,-0.7999999999999998,0.32784320108,0.9973061294016958,5,18.0,0.0,0.04038461538461539
118,0.6000000000000001,0.4198,0.9972978517779979,2,4.0,0.0,0.006923076923076922
119,-0.30000000000000004,0.13300192200000002,0.9972730193191267,6,13.0,0.0,0.05192307692307692
120,-3.1,0.3133575570197079,0.9972399103357964,8,21.0,0.0,0.050769230769230775
121,-2.9000000000000004,0.2944839506029047,0.9972068024516684,8,19.0,0.0,0.05923076923076923
122,-3.2,0.263689005375,0.9971736956667061,8,22.0,0.0,0.02538461538461538
123,0.8,0.5831999999999999,0.9971695573958691,1,2.0,0.0,0.004230769230769231
124,-0.30000000000000004,0.1760054743296,0.99714886629929,5,13.0,0.0,0.023076923076923075
125,-0.19999999999999996,0.3747895759731333,0.9971364518474248,3,12.0,0.0,0.021153846153846155
126,0.7000000000000001,0.44923996400000005,0.9971281756320477,2,3.0,0.0,0.013846153846153845
127,-0.19999999999999996,0.33274469999999995,0.9971157614377801,3,12.0,0.0,0.019230769230769232
128,0.7,0.5103,0.9971116234073701,1,3.0,0.0,0.004230769230769231
129,-3.2,0.29646471008249997,0.9970785197823062,8,22.0,0.0,0.027692307692307697
130,-1.8000000000000003,0.2075753653425,0.9970454172562667,8,28.0,0.0,0.025384615384615387
131,-1.0999999999999999,0.2250106828576,0.997016453447497,7,21.0,0.0,0.03461538461538462
132,-3.1999999999999997,0.29040946461237505,0.9969833529820301,8,22.0,0.0,0.03692307692307692
133,-1.0,0.14896852250799997,0.9969543909762051,7,20.0,0.0,0.03807692307692308
134,-0.6,0.16085210282999998,0.9969378416363349,4,16.0,0.0,0.01730769230769231
135,-3.3,0.29716981648977503,0.9969047437807421,8,23.0,0.0,0.03692307692307692
136,0.19999999999999996,0.19303391693699998,0.9968923323681895,3,8.0,0.0,0.01153846153846154
137,-1.2,0.15923307218509028,0.9968633730064804,7,22.0,0.0,0.04230769230769231
138,-3.0,0.278338828875,0.9968302776232103,8,20.0,0.0,0.04230769230769231
139,-3.7,0.248133846580775,0.9967971833386908,8,27.0,0.0,0.03076923076923077
140,0.7,0.567,0.99679304663038,1,3.0,0.0,0.003461538461538461
141,-0.40000000000000013,0.2297133675,0.9967764999688093,4,14.0,0.0,0.019230769230769232
142,-3.0,0.2407735097931175,0.996743407469682,8,20.0,0.0,0.02769230769230769
143,-0.5999999999999999,0.23641149537151498,0.9967185888163309,6,16.0,0.0,0.00923076923076923
144,-0.40000000000000013,0.183018555,0.9966896345018091,7,14.0,0.0,0.023076923076923075
145,0.7,0.567,0.996685498239826,1,3.0,0.0,0.005384615384615385
146,-1.5000000000000004,0.2587893142281,0.9966606810283998,6,25.0,0.0,0.033846153846153845
147,-0.6,0.11555933333333335,0.9966358644349157,6,16.0,0.0,0.04
148,-3.3,0.28865181287499997,0.9966027766048202,8,23.0,0.0,0.04153846153846154
