episode,reward,loss,epsilon,hops,delay_ms,dropped,avg_util,avg_q_util,buf_size,buf_fill_pct,beta,mean_prio
50,-0.09267902758794755,0.0,1.0,5,41.50543792857363,0.0,0.06070880868836619,0.07412824914200417,236,1.18,0.0,0.0
51,0.9092606646793916,0.0,1.0,2,11.09834800045503,0.0,0.043045867908969346,0.08587494278895116,238,1.1900000000000002,0.0,0.0
52,-2.8309074529988196,0.0,1.0,7,38.200584386038926,0.0,0.012496623807439775,0.008309405725964085,245,1.225,0.0,0.0
53,-3.3918027282053496,0.0,1.0,7,36.587705637659894,0.0,0.028170873341337464,0.032614272694783945,252,1.26,0.0,0.0
54,-3.1635871778028184,0.0,1.0,7,29.87334041812636,1.0,0.016068863571830037,0.025565530595306914,259,1.295,0.0,0.0
55,-2.8082603267143638,0.0,1.0,7,35.949293536580576,0.0,0.015373134833498682,0.04312266920269578,266,1.3299999999999998,0.0,0.0
56,-3.922228349418659,0.0,1.0,7,31.399885604842417,1.0,0.03772541674797047,0.02240313046251639,273,1.365,0.0,0.0
57,0.8461003529843429,0.0,1.0,4,16.720171055910797,0.0,0.03641208278364517,0.06266874734986219,277,1.385,0.0,0.0
58,-3.6372761712180797,0.0,1.0,7,58.61624994282046,1.0,0.06126561387261734,0.0338138988856126,284,1.4200000000000002,0.0,0.0
59,0.005861409971710363,0.0,1.0,6,17.47382544142577,1.0,0.015198969448177382,0.02375548818708466,290,1.4500000000000002,0.0,0.0
60,-3.6491641216118573,0.0,1.0,7,39.10388716586814,1.0,0.02696553577533501,0.03363077511304782,297,1.485,0.0,0.0
61,-2.9257016816839725,0.0,1.0,7,32.25973434212805,1.0,0.025771649923643676,0.05834831112487481,304,1.52,0.0,0.0
62,0.5940071750055824,0.0,1.0,3,18.270571042792707,1.0,0.039356147688695116,0.08151248477565075,307,1.5350000000000001,0.0,0.0
63,-3.0618984422728905,0.0,1.0,7,29.49016426526186,0.0,0.021148894127511544,0.03284323012688399,314,1.5699999999999998,0.0,0.0
64,0.4701156681739055,0.0,1.0,5,26.936784838894937,0.0,0.024420818428121105,0.06237238743145261,319,1.595,0.0,0.0
65,-3.007782143617587,0.0,1.0,7,18.36368694022249,1.0,0.019452542402140543,0.04187699557243101,326,1.63,0.0,0.0
66,0.9254583621520738,0.0,1.0,2,10.709590570012033,0.0,0.043873686437055553,0.0945795136284177,328,1.6400000000000001,0.0,0.0
67,-3.536998381268335,0.0,1.0,7,48.50820960402191,1.0,0.017253001462022792,0.005396058799950692,335,1.675,0.0,0.0
68,0.9060589217187927,0.0,1.0,2,12.40197055076834,0.0,0.04733154009708277,0.07825621624920036,337,1.685,0.0,0.0
69,1.024117818217645,0.0,1.0,1,6.9698375143543005,0.0,0.06812152340268746,0.12231228674129185,338,1.69,0.0,0.0
70,-3.8229186680700744,0.0,1.0,7,49.58124817722951,0.0,0.0469137184124665,0.02491884039888725,345,1.725,0.0,0.0
71,-3.5034126658956435,0.0,1.0,7,32.53885053595536,1.0,0.03664527298752264,0.02930972758775719,352,1.76,0.0,0.0
72,-3.558095372598593,0.0,1.0,7,47.34210598844122,1.0,0.015036510058280744,0.01800843935623723,359,1.7950000000000002,0.0,0.0
73,0.9987606247307169,0.0,1.0,1,9.237938749209654,0.0,0.06756999848591666,0.15690051361982654,360,1.7999999999999998,0.0,0.0
74,0.8794731194616873,0.0,1.0,2,13.431122003158839,0.0,0.04116647495530422,0.12252065752976476,362,1.81,0.0,0.0
75,-2.936357390624683,0.0,1.0,7,35.709041336934064,1.0,0.04784791288205218,0.035295951448201926,369,1.8450000000000002,0.0,0.0
76,-3.375417550592765,0.0,1.0,7,31.313003672640043,1.0,0.043710056607352395,0.047435754594188265,376,1.8800000000000001,0.0,0.0
77,-3.4868525588760315,0.0,1.0,7,31.44111722917361,1.0,0.018436871193482095,0.04629647546989732,383,1.915,0.0,0.0
78,-3.140410194991179,0.0,1.0,7,34.082454993396816,1.0,0.005266262312145337,0.011703718230621869,390,1.95,0.0,0.0
79,-3.2609640051125335,0.0,1.0,7,20.824457263759577,1.0,0.06254483584299066,0.049402954989667146,397,1.9849999999999999,0.0,0.0
80,-2.901674145439525,0.0,1.0,7,38.89285852386051,1.0,0.010674018286726662,0.020740753778873355,404,2.02,0.0,0.0
81,1.0254623438815986,0.0,1.0,1,4.199671167717217,0.0,0.0816587598161029,0.15529691098629736,405,2.025,0.0,0.0
82,1.0272390498436823,0.0,1.0,1,9.44749603695923,0.0,0.04851306940987125,0.10092137424895388,406,2.03,0.0,0.0
83,1.0085723258431405,0.0,1.0,1,8.938764991859522,0.0,0.04579947583163395,0.1216795347924197,407,2.035,0.0,0.0
84,-0.054717697297226975,0.0,1.0,5,22.779020062853633,1.0,0.05400740552484611,0.08516710218975056,412,2.06,0.0,0.0
85,-3.028963204334771,0.0,1.0,7,45.76269629045537,1.0,0.01792053242593357,0.0479623748377545,419,2.095,0.0,0.0
86,1.0301120781573205,0.0,1.0,1,2.127934087970057,0.0,0.05236123112063361,0.08115289558269347,420,2.1,0.0,0.0
87,0.29565322617227063,0.0,1.0,6,36.10358035023364,0.0,0.020327892848690923,0.035837170283981194,426,2.13,0.0,0.0
88,-3.560641288381356,0.0,1.0,7,40.681962012574765,1.0,0.03632483455992855,0.031133773542550737,433,2.165,0.0,0.0
89,1.0384784039175785,0.0,1.0,1,2.7726981036352933,0.0,0.05408971027959211,0.11067553073422182,434,2.17,0.0,0.0
90,0.9024691767555605,0.0,1.0,2,8.91640374104922,1.0,0.039444791955761525,0.08449098313589319,436,2.18,0.0,0.0
91,0.8082490927570944,0.0,1.0,2,10.80009623261534,1.0,0.06127982991269553,0.11028717843462184,438,2.19,0.0,0.0
92,0.761747397208055,0.0,1.0,4,26.906618831555747,0.0,0.023509104498393846,0.028059963089714805,442,2.21,0.0,0.0
93,0.3397653900672939,0.0,1.0,6,30.080168932968668,0.0,0.017422709957008432,0.04019891780779584,448,2.2399999999999998,0.0,0.0
94,-3.36988855172387,0.0,1.0,7,42.85401061084455,1.0,0.03438993676192296,0.021618594473614146,455,2.275,0.0,0.0
95,-3.2035504936985593,0.0,1.0,7,45.489309629329135,1.0,0.016361563487102545,0.02085988626783303,462,2.31,0.0,0.0
96,-3.49698027119611,0.0,1.0,7,37.46987513663615,0.0,0.02064350089982327,0.04024672603165846,469,2.3449999999999998,0.0,0.0
97,-2.874862697447888,0.0,1.0,7,41.10979516966479,0.0,0.019214668384895717,0.030018235382028673,476,2.3800000000000003,0.0,0.0
98,-2.909314634691124,0.0,1.0,7,44.945773019722665,0.0,0.026977856671886416,0.036960134308138076,483,2.415,0.0,0.0
99,1.017226697104418,0.0,1.0,1,4.152071769110976,0.0,0.0697567340073594,0.1600162214655564,484,2.42,0.0,0.0
100,-0.21944361145899505,0.0,1.0,7,52.61039463612252,0.0,0.032135379130880104,0.03162333471213699,491,2.455,0.0,0.0
101,-3.8056372331961983,0.0,1.0,7,46.74556677211784,1.0,0.037494741668604906,0.048925228749970066,498,2.4899999999999998,0.0,0.0
102,1.0363779529291415,0.0,1.0,1,1.720174829739486,1.0,0.07154710616217849,0.07806994006400146,499,2.495,0.0,0.0
