algo,episode,src,dst,path,hops,total_delay_ms,dropped,reward,loss,avg_utilization,avg_queue_util,total_dropped_data,link0_nodes,link0_delay,link0_bandwidth,link0_load,link0_utilization,link0_queue_size_cur,link0_queue_used_cur,link0_queue_util,link0_dropped_data,link1_nodes,link1_delay,link1_bandwidth,link1_load,link1_utilization,link1_queue_size_cur,link1_queue_used_cur,link1_queue_util,link1_dropped_data,link2_nodes,link2_delay,link2_bandwidth,link2_load,link2_utilization,link2_queue_size_cur,link2_queue_used_cur,link2_queue_util,link2_dropped_data,link3_nodes,link3_delay,link3_bandwidth,link3_load,link3_utilization,link3_queue_size_cur,link3_queue_used_cur,link3_queue_util,link3_dropped_data,link4_nodes,link4_delay,link4_bandwidth,link4_load,link4_utilization,link4_queue_size_cur,link4_queue_used_cur,link4_queue_util,link4_dropped_data,link5_nodes,link5_delay,link5_bandwidth,link5_load,link5_utilization,link5_queue_size_cur,link5_queue_used_cur,link5_queue_util,link5_dropped_data,link6_nodes,link6_delay,link6_bandwidth,link6_load,link6_utilization,link6_queue_size_cur,link6_queue_used_cur,link6_queue_util,link6_dropped_data,link7_nodes,link7_delay,link7_bandwidth,link7_load,link7_utilization,link7_queue_size_cur,link7_queue_used_cur,link7_queue_util,link7_dropped_data
DQN,21,3,7,3→5→3→1→3→1→2→1,7,30.5399,0,-3.3231,0.000000,0.0186,0.0235,0.0000,3→5,8.3728,36.6961,7.0000,0.1908,63,63.0000,1.0000,0.0000,5→3,8.3728,36.6961,7.0000,0.1908,63,63.0000,1.0000,0.0000,3→1,1.3135,137.4064,28.0000,0.2038,79,158.0000,2.0000,0.0000,1→3,1.3135,137.4064,21.0000,0.1528,79,79.0000,1.0000,0.0000,3→1,1.3135,137.4064,28.0000,0.2038,79,158.0000,2.0000,0.0000,1→2,4.9268,159.4323,7.0000,0.0439,20,20.0000,1.0000,0.0000,2→1,4.9268,159.4323,7.0000,0.0439,20,20.0000,1.0000,0.0000,,,,,,,,,
DQN,22,6,2,6→7→6→4→1→2,5,20.4719,1,0.1760,0.000000,0.0323,0.0672,5.3165,6→7,1.5354,58.7321,11.7848,0.2007,94,94.0000,1.0000,0.0000,7→6,1.5354,58.7321,37.3165,0.6354,94,94.0000,1.0000,0.0000,6→4,2.5476,180.2475,37.3165,0.2070,71,71.0000,1.0000,0.0000,4→1,8.4395,121.0202,32.0000,0.2644,32,32.0000,1.0000,5.3165,1→2,6.4140,107.5146,32.0000,0.2976,69,69.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,23,1,4,1→0→2→6→2→1→2→4,7,43.8542,1,-1.0135,0.000000,0.0252,0.0665,6.6257,1→0,3.9154,190.7562,16.0367,0.0841,36,36.0000,1.0000,0.0000,0→2,6.1917,165.1144,16.4976,0.0999,93,93.0000,1.0000,0.0000,2→6,5.9896,77.7288,16.4976,0.2122,72,72.0000,1.0000,0.0000,6→2,5.9896,77.7288,16.6299,0.2139,72,72.0000,1.0000,0.0000,2→1,9.8077,109.7551,16.6299,0.1515,33,33.0000,1.0000,0.0000,1→2,9.8077,109.7551,43.6257,0.3975,33,33.0000,1.0000,0.0000,2→4,2.1525,77.7954,37.0000,0.4756,37,37.0000,1.0000,6.6257,,,,,,,,,
DQN,24,3,6,3→4→1→4→6,4,17.2819,0,0.3299,0.000000,0.0488,0.1089,0.0000,3→4,9.8393,129.2981,6.0000,0.0464,65,65.0000,1.0000,0.0000,4→1,2.6885,126.9691,8.6160,0.0679,96,96.0000,1.0000,0.0000,1→4,2.6885,126.9691,8.6160,0.0679,96,96.0000,1.0000,0.0000,4→6,2.0656,163.0551,8.6160,0.0528,53,53.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,25,0,6,0→1→3→5→7→5→3→1,7,57.3369,0,-3.1989,0.000000,0.0156,0.0421,0.0000,0→1,3.7159,182.5380,10.0000,0.0548,52,52.0000,1.0000,0.0000,1→3,8.5124,48.0364,10.0000,0.2082,77,77.0000,1.0000,0.0000,3→5,9.7188,75.9178,10.0000,0.1317,25,25.0000,1.0000,0.0000,5→7,8.5794,189.8088,10.0000,0.0527,98,98.0000,1.0000,0.0000,7→5,8.5794,189.8088,19.3646,0.1020,98,98.0000,1.0000,0.0000,5→3,9.7188,75.9178,19.3646,0.2551,25,25.0000,1.0000,0.0000,3→1,8.5124,48.0364,19.3646,0.4031,77,77.0000,1.0000,0.0000,,,,,,,,,
DQN,26,5,7,5→7,1,2.6453,0,0.9803,0.000000,0.0385,0.0780,0.0000,5→7,2.6453,77.7321,6.0000,0.0772,34,34.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,27,4,3,4→5→3,2,7.7652,1,0.8236,0.000000,0.0424,0.0829,25.2024,4→5,2.9395,154.1367,74.2024,0.4814,56,56.0000,1.0000,0.0000,5→3,4.8257,166.1821,49.0000,0.2949,49,49.0000,1.0000,25.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,28,3,5,3→5,1,5.4814,0,0.9762,0.000000,0.0331,0.0818,0.0000,3→5,5.4814,135.7397,9.0000,0.0663,21,21.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,29,5,2,5→3→4→1→2,4,19.5381,0,0.5917,0.000000,0.0356,0.0666,0.0000,5→3,9.6807,67.6276,42.6180,0.6302,42,42.0000,1.0000,0.0000,3→4,4.8696,97.8528,42.6180,0.4355,75,75.0000,1.0000,0.0000,4→1,2.2605,141.9876,42.6180,0.3002,93,93.0000,1.0000,0.0000,1→2,2.7273,51.5832,51.5177,0.9987,74,74.0000,1.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQN,30,0,6,0→2→4→6,3,26.7783,1,0.5403,0.000000,0.0394,0.0873,29.6653,0→2,9.4942,92.3686,37.9903,0.4113,30,30.0000,1.0000,0.0000,2→4,9.2566,173.1795,36.0000,0.2079,36,36.0000,1.0000,1.9903,4→6,8.0275,188.9321,57.7636,0.3057,30,30.0000,1.0000,27.6750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
